FID,pointid,grid_code,reforest,recultivat,area,RASTERVALU,Longitude,Latitude,lu
388884,703809,360982,2,8,198900,1.989,1003915,2989597,0
388886,703811,360502,2,8,64800,0.648,960146,2989433,0
388887,703812,360982,2,8,108000,1.08,992308,2989602,0
388888,703813,360824,2,8,120600,1.206,1012699,2989565,0
388889,703814,361027,2,8,71100,0.711,1147969,2989456,0
388891,703817,360902,2,8,110700,1.107,886393,2989398,0
388892,703818,360902,2,8,145800,1.458,928590,2989629,0
388893,703819,360521,2,8,34200,0.342,949269,2989347,0
388894,703820,360521,2,8,20700,0.207,949930,2989316,0
388896,703824,360982,2,8,106200,1.062,1011255,2989441,0
388897,703825,361002,2,8,41400,0.414,1125444,2989317,0
388901,703831,360502,2,8,93600,0.936,968256,2989444,0
388902,703832,360982,2,8,56700,0.567,1003240,2989302,0
388908,703840,360521,2,8,28800,0.288,953710,2989235,0
388911,703845,360902,2,8,121500,1.215,929314,2989287,0
388912,703846,360521,2,8,29700,0.297,950340,2989160,0
388913,703847,360824,2,8,60300,0.603,1022046,2989201,0
388916,703851,360902,2,8,22500,0.225,927120,2989156,0
388917,703852,360521,2,8,191700,1.917,952882,2989332,0
388918,703854,360982,2,8,107100,1.071,1005841,2989253,0
388921,703858,360502,2,8,76500,0.765,983318,2989169,0
388922,703859,360982,2,8,147600,1.476,1008082,2989275,0
388923,703860,361024,2,8,35100,0.351,1080553,2989178,0
388924,703861,361027,2,8,74700,0.747,1146503,2989144,0
388925,703863,360521,2,8,94500,0.945,939006,2989189,0
388927,703867,360521,2,8,39600,0.396,935097,2989138,0
388928,703868,360502,2,8,83700,0.837,981887,2989098,0
388929,703869,360982,2,8,72000,0.72,1000547,2989166,0
388930,703874,360982,2,8,110700,1.107,996166,2989119,0
388931,703875,360982,2,8,76500,0.765,997999,2989137,0
388932,703876,361024,2,8,35100,0.351,1071140,2989065,0
388933,703879,361027,2,8,25200,0.252,1145681,2989015,0
388934,703880,361027,2,8,19800,0.198,1147742,2989016,0
388935,703881,360502,2,8,36000,0.36,956258,2988993,0
388936,703882,360502,2,8,43200,0.432,960445,2989022,0
